date,tmax,tmin,prcp,srad,vp,dayl
2019-01-29,3.2899999618530273,-7.550000190734863,9.579999923706055,222.9199981689453,346.5299987792969,35184.16015625
2019-01-30,0.6399999856948853,-13.039999961853027,1.690000057220459,327.69000244140625,223.91000366210938,35307.171875
2019-01-31,-7.690000057220459,-17.959999084472656,0.0,300.6700134277344,148.83999633789062,35432.2109375
2019-02-01,-6.480000019073486,-15.4399995803833,0.0,280.4700012207031,183.9199981689453,35559.23828125
2019-02-02,1.2599999904632568,-13.020000457763672,0.0,338.94000244140625,224.39999389648438,35688.19921875
2019-02-03,8.5600004196167,-6.349999904632568,0.0,339.45001220703125,379.8800048828125,35819.01953125
2019-02-04,14.729999542236328,-2.2300000190734863,0.0,344.6099853515625,518.5499877929688,35951.66015625
2019-02-05,17.81999969482422,-0.7599999904632568,0.0,348.7900085449219,577.8400268554688,36086.05859375
2019-02-06,7.440000057220459,-0.550000011920929,13.140000343322754,184.07000732421875,586.739990234375,36222.16015625
2019-02-07,6.289999961853027,1.1699999570846558,6.489999771118164,128.2100067138672,664.6300048828125,36359.91015625
2019-02-08,11.739999771118164,0.5299999713897705,3.2100000381469727,228.52000427246094,634.739990234375,36499.25
2019-02-09,1.25,-6.090000152587891,0.0,236.5,387.5299987792969,36640.12890625
2019-02-10,0.8399999737739563,-7.389999866485596,0.0,259.7099914550781,350.739990234375,36782.5
2019-02-11,2.0299999713897705,-3.630000114440918,0.0,192.5,467.2799987792969,36926.30078125
2019-02-12,1.2999999523162842,-4.71999979019165,22.610000610351562,154.74000549316406,430.2099914550781,37071.48828125
2019-02-13,4.010000228881836,-2.8499999046325684,0.0,231.05999755859375,495.0899963378906,37218.01171875
2019-02-14,6.239999771118164,-1.190000057220459,0.0,247.9499969482422,559.8599853515625,37365.8203125
2019-02-15,13.100000381469727,0.14000000059604645,0.0,344.4700012207031,616.989990234375,37514.87109375
2019-02-16,7.369999885559082,-1.3700000047683716,0.0,280.2699890136719,552.6400146484375,37665.109375
2019-02-17,2.859999895095825,-5.579999923706055,3.690000057220459,210.1199951171875,402.95001220703125,37816.48828125
2019-02-18,4.360000133514404,-4.71999979019165,0.0,294.1600036621094,430.4100036621094,37968.98046875
2019-02-19,1.3899999856948853,-6.590000152587891,0.0,274.19000244140625,373.1000061035156,38122.51171875
2019-02-20,0.05999999865889549,-5.800000190734863,17.989999771118164,162.60000610351562,396.5,38277.05859375
2019-02-21,9.84000015258789,-2.619999885559082,0.0,326.6600036621094,503.5899963378906,38432.578125
2019-02-22,6.559999942779541,0.1599999964237213,0.0,214.0500030517578,617.8499755859375,38589.01953125
2019-02-23,4.130000114440918,-2.5999999046325684,10.890000343322754,173.8699951171875,504.3399963378906,38746.3515625
2019-02-24,6.949999809265137,-0.17000000178813934,1.5700000524520874,241.8000030517578,603.3800048828125,38904.51953125
2019-02-25,5.329999923706055,-1.440000057220459,0.0,236.39999389648438,549.6799926757812,39063.5
2019-02-26,1.7999999523162842,-5.28000020980835,0.0,253.47999572753906,412.3699951171875,39223.25
2019-02-27,-2.2799999713897705,-6.590000152587891,1.350000023841858,189.19000244140625,373.20001220703125,39383.73046875
2019-02-28,0.7699999809265137,-5.519999980926514,3.0899999141693115,201.0800018310547,404.95001220703125,39544.8984375
2019-03-01,1.100000023841858,-5.059999942779541,10.880000114440918,203.11000061035156,419.2900085449219,39706.71875
2019-03-02,3.859999895095825,-2.700000047683716,0.0,258.3699951171875,500.8500061035156,39869.171875
2019-03-03,5.360000133514404,-0.9599999785423279,21.18000030517578,190.5500030517578,569.22998046875,40032.2109375
2019-03-04,3.5999999046325684,-2.8299999237060547,0.0,265.95001220703125,495.8299865722656,40195.80078125
2019-03-05,0.009999999776482582,-9.550000190734863,0.0,356.7300109863281,296.19000244140625,40359.91015625
2019-03-06,-3.140000104904175,-9.6899995803833,0.0,290.010009765625,292.9800109863281,40524.51171875
2019-03-07,-1.350000023841858,-10.779999732971191,0.0,372.6199951171875,268.739990234375,40689.55859375
2019-03-08,2.319999933242798,-9.899999618530273,0.0,410.42999267578125,288.1700134277344,40855.0390625
2019-03-09,7.840000152587891,-4.949999809265137,7.039999961853027,309.45001220703125,422.8999938964844,41020.91015625
2019-03-10,5.340000152587891,-1.1399999856948853,5.539999961853027,219.38999938964844,561.969970703125,41187.1484375
2019-03-11,10.460000038146973,1.5,0.0,357.70001220703125,680.5399780273438,41353.7109375
2019-03-12,6.610000133514404,-0.699999988079071,0.0,322.489990234375,580.1099853515625,41520.58984375
2019-03-13,7.150000095367432,-3.759999990463257,0.0,402.45001220703125,462.7300109863281,41687.73046875
2019-03-14,12.920000076293945,1.0299999713897705,0.0,408.8500061035156,657.8400268554688,41855.12890625
2019-03-15,20.530000686645508,5.869999885559082,11.100000381469727,317.42999267578125,926.47998046875,42022.73828125
2019-03-16,12.5600004196167,2.9700000286102295,0.0,370.45001220703125,755.77001953125,42190.5390625
2019-03-17,6.599999904632568,-1.350000023841858,0.0,343.25,553.0900268554688,42358.51171875
2019-03-18,6.460000038146973,-4.039999961853027,0.0,405.05999755859375,453.07000732421875,42526.609375
2019-03-19,8.279999732971191,-3.4700000286102295,0.0,424.4700012207031,472.8900146484375,42694.80859375
2019-03-20,10.890000343322754,-2.609999895095825,0.0,443.6199951171875,504.17999267578125,42863.1015625
2019-03-21,7.949999809265137,1.3600000143051147,32.20000076293945,225.47999572753906,673.6500244140625,43031.44921875
2019-03-22,8.020000457763672,2.5899999141693115,5.25,192.92999267578125,735.8599853515625,43199.8203125
2019-03-23,7.940000057220459,0.05000000074505806,0.0,352.239990234375,612.9099731445312,43368.19140625
2019-03-24,14.520000457763672,-0.3100000023841858,0.0,462.0299987792969,597.0499877929688,43536.53125
2019-03-25,11.949999809265137,1.9199999570846558,0.0,399.29998779296875,701.510009765625,43704.8203125
2019-03-26,8.34000015258789,-1.7999999523162842,0.0,407.8900146484375,535.3300170898438,43873.03125
2019-03-27,7.53000020980835,-2.319999933242798,0.0,403.0,514.8900146484375,44041.12890625
2019-03-28,10.760000228881836,-2.359999895095825,0.0,455.8800048828125,513.4299926757812,44209.08984375
2019-03-29,13.550000190734863,3.6700000762939453,0.0,391.3999938964844,794.0399780273438,44376.890625
2019-03-30,19.559999465942383,6.78000020980835,0.0,433.8599853515625,986.5900268554688,44544.51171875
2019-03-31,15.529999732971191,4.599999904632568,3.5399999618530273,306.8399963378906,848.1500244140625,44711.8984375
2019-04-01,7.739999771118164,-1.3700000047683716,0.0,377.07000732421875,552.3099975585938,44879.05078125
2019-04-02,9.720000267028809,-2.559999942779541,0.0,444.510009765625,505.8900146484375,45045.921875
2019-04-03,17.950000762939453,1.5,0.0,482.0,680.8599853515625,45212.48828125
2019-04-04,14.630000114440918,3.0899999141693115,0.0,420.0199890136719,762.1199951171875,45378.73046875
2019-04-05,6.420000076293945,1.2799999713897705,7.590000152587891,173.60000610351562,669.7899780273438,45544.6015625
2019-04-06,17.920000076293945,2.009999990463257,0.0,481.94000244140625,705.9099731445312,45710.078125
2019-04-07,18.239999771118164,4.28000020980835,6.659999847412109,343.79998779296875,828.97998046875,45875.12890625
2019-04-08,23.809999465942383,7.380000114440918,2.119999885559082,357.0400085449219,1027.9300537109375,46039.73046875
2019-04-09,12.15999984741211,6.53000020980835,3.0,182.10000610351562,969.8499755859375,46203.83984375
2019-04-10,14.609999656677246,4.650000095367432,0.0,386.9700012207031,850.77001953125,46367.4296875
2019-04-11,10.770000457763672,2.2300000190734863,0.0,351.8299865722656,717.3900146484375,46530.46875
2019-04-12,18.209999084472656,4.78000020980835,31.559999465942383,342.44000244140625,858.8200073242188,46692.921875
2019-04-13,24.1299991607666,11.319999694824219,2.8299999237060547,322.7799987792969,1340.010009765625,46854.75
2019-04-14,21.790000915527344,11.779999732971191,18.260000228881836,283.29998779296875,1381.5699462890625,47015.921875
2019-04-15,18.110000610351562,8.539999961853027,6.519999980926514,282.6099853515625,1111.969970703125,47176.3984375
2019-04-16,17.040000915527344,4.610000133514404,1.7699999809265137,447.55999755859375,848.5999755859375,47336.1484375
2019-04-17,16.420000076293945,6.610000133514404,0.0,387.7099914550781,974.9500122070312,47495.12890625
2019-04-18,15.119999885559082,8.369999885559082,1.4600000381469727,292.1700134277344,1099.510009765625,47653.30859375
2019-04-19,24.190000534057617,11.119999885559082,11.5600004196167,336.55999755859375,1322.2099609375,47810.62890625
2019-04-20,19.489999771118164,12.890000343322754,9.5,209.47000122070312,1486.3199462890625,47967.078125
2019-04-21,17.969999313354492,10.100000381469727,0.0,329.2699890136719,1235.8199462890625,48122.6015625
2019-04-22,17.299999237060547,8.819999694824219,6.75,264.2900085449219,1133.6400146484375,48277.1484375
2019-04-23,24.020000457763672,10.680000305175781,0.8500000238418579,459.7200012207031,1284.5,48430.69140625
2019-04-24,19.809999465942383,10.630000114440918,0.0,372.8699951171875,1280.2099609375,48583.171875
2019-04-25,18.09000015258789,6.420000076293945,5.590000152587891,333.57000732421875,962.1599731445312,48734.55859375
2019-04-26,14.819999694824219,8.729999542236328,19.219999313354492,206.30999755859375,1126.52001953125,48884.80078125
2019-04-27,13.079999923706055,7.269999980926514,0.0,271.739990234375,1019.9099731445312,49033.8515625
2019-04-28,10.970000267028809,5.110000133514404,1.340000033378601,280.7099914550781,878.6799926757812,49181.66015625
2019-04-29,14.359999656677246,1.0399999618530273,4.400000095367432,375.0199890136719,658.280029296875,49328.19140625
2019-04-30,15.050000190734863,6.010000228881836,1.340000033378601,397.4700012207031,935.4400024414062,49473.37890625
2019-05-01,12.880000114440918,8.420000076293945,0.8899999856948853,219.8699951171875,1103.6700439453125,49617.19140625
2019-05-02,23.579999923706055,8.6899995803833,2.119999885559082,379.6600036621094,1123.699951171875,49759.55859375
2019-05-03,13.800000190734863,8.729999542236328,8.470000267028809,190.58999633789062,1126.6199951171875,49900.44140625
2019-05-04,20.700000762939453,10.0600004196167,11.369999885559082,332.7900085449219,1232.0999755859375,50039.7890625
2019-05-05,14.5,10.890000343322754,21.950000762939453,139.0399932861328,1302.8199462890625,50177.5390625
2019-05-06,20.809999465942383,8.779999732971191,0.0,481.0199890136719,1130.780029296875,50313.640625
2019-05-07,21.170000076293945,9.84000015258789,3.3299999237060547,350.260009765625,1214.280029296875,50448.0390625
2019-05-08,21.639999389648438,10.699999809265137,0.0,461.3900146484375,1285.9599609375,50580.69140625
2019-05-09,16.040000915527344,9.529999732971191,0.0,328.6099853515625,1189.0,50711.51953125
2019-05-10,22.510000228881836,11.079999923706055,4.889999866485596,352.07000732421875,1319.2900390625,50840.48046875
2019-05-11,20.270000457763672,11.380000114440918,13.770000457763672,305.69000244140625,1345.469970703125,50967.51171875
2019-05-12,13.3100004196167,5.929999828338623,25.68000030517578,281.67999267578125,930.510009765625,51092.55859375
2019-05-13,8.140000343322754,4.710000038146973,17.489999771118164,149.5,854.489990234375,51215.5703125
2019-05-14,9.609999656677246,5.610000133514404,4.929999828338623,174.63999938964844,909.9299926757812,51336.46875
2019-05-15,19.8799991607666,5.590000152587891,1.559999942779541,539.5399780273438,908.8099975585938,51455.21875
2019-05-16,21.889999389648438,9.069999694824219,0.0,512.9199829101562,1152.969970703125,51571.73828125
2019-05-17,23.780000686645508,11.220000267028809,7.03000020980835,375.25,1331.719970703125,51685.98828125
2019-05-18,23.6299991607666,10.140000343322754,0.0,514.1500244140625,1238.56005859375,51797.890625
2019-05-19,25.3700008392334,12.350000381469727,14.8100004196167,374.8699951171875,1434.1600341796875,51907.3984375
2019-05-20,29.360000610351562,16.309999465942383,3.049999952316284,359.6199951171875,1853.800048828125,52014.4609375
2019-05-21,22.239999771118164,12.319999694824219,0.0,437.69000244140625,1431.52001953125,52118.98828125
2019-05-22,23.329999923706055,9.069999694824219,6.239999771118164,391.1300048828125,1152.8699951171875,52220.94921875
2019-05-23,22.329999923706055,11.680000305175781,3.5299999713897705,341.5,1372.3199462890625,52320.28125
2019-05-24,22.549999237060547,13.8100004196167,0.0,398.57000732421875,1578.0699462890625,52416.91015625
2019-05-25,21.18000030517578,10.970000267028809,0.0,450.20001220703125,1309.3499755859375,52510.80078125
2019-05-26,29.829999923706055,14.039999961853027,11.199999809265137,386.8399963378906,1601.52001953125,52601.87890625
2019-05-27,26.850000381469727,15.430000305175781,0.0,449.5899963378906,1752.6400146484375,52690.08984375
2019-05-28,20.809999465942383,15.029999732971191,4.679999828338623,206.9600067138672,1707.800048828125,52775.390625
2019-05-29,19.440000534057617,13.600000381469727,15.520000457763672,215.97000122070312,1556.3499755859375,52857.71875
2019-05-30,19.709999084472656,13.039999961853027,30.149999618530273,244.3300018310547,1500.6500244140625,52937.01953125
2019-05-31,26.06999969482422,14.800000190734863,0.0,452.75,1682.5999755859375,53013.23828125
2019-06-01,25.700000762939453,14.399999618530273,0.0,457.7200012207031,1639.3499755859375,53086.33984375
2019-06-02,26.510000228881836,15.34000015258789,2.2100000381469727,334.95001220703125,1742.0799560546875,53156.25
2019-06-03,21.5,11.140000343322754,0.0,445.1000061035156,1324.530029296875,53222.94921875
2019-06-04,21.469999313354492,8.390000343322754,0.6000000238418579,502.7200012207031,1101.4300537109375,53286.37109375
2019-06-05,27.229999542236328,14.180000305175781,0.0,480.5799865722656,1615.989990234375,53346.46875
2019-06-06,27.729999542236328,18.170000076293945,0.0,390.8599853515625,2085.60009765625,53403.21875
2019-06-07,26.3700008392334,15.989999771118164,0.0,421.8699951171875,1816.52001953125,53456.55859375
2019-06-08,26.799999237060547,14.550000190734863,0.0,463.7900085449219,1655.449951171875,53506.46875
2019-06-09,24.969999313354492,12.039999961853027,0.0,484.9599914550781,1405.5699462890625,53552.91015625
2019-06-10,21.309999465942383,12.329999923706055,30.979999542236328,293.6400146484375,1432.1600341796875,53595.828125
2019-06-11,24.360000610351562,14.130000114440918,0.0,419.010009765625,1610.760009765625,53635.21875
2019-06-12,23.280000686645508,11.170000076293945,0.9900000095367432,466.1199951171875,1327.300048828125,53671.0390625
2019-06-13,18.610000610351562,12.579999923706055,17.110000610351562,206.00999450683594,1456.1500244140625,53703.26171875
2019-06-14,22.639999389648438,13.40999984741211,0.0,389.739990234375,1537.81005859375,53731.859375
